AN_ID	AN_REF	AN_TITLE
1	02-0027	Annulus tubing leak
2	02-0032	Methanol Injection Line in Umbilical B Leaking - The AVB Repair (17m in length) and the M3B Repair(14 m in length) 
3	02-0031	Non-routine annulus venting due to loss of AVB umbilical line.
4	02-0030	Non-routine annulus venting due to loss of AVB umbilical line
5	02-0033	SCM LP selector valve functioning fault
6	02-0034	Intermittent leak from McPac connectors.
11	02-0040	Some minor debris located.
12	02-0046	TPFL1(B)-13 Severly Depleted anodes
13	02-0038	KP4 Loop - Umbilical found suspended in a loop, KP4.0
14	02-0047	Overlength Spans on TPF2 Flowline and Exp Spool
15	02-0037	Leaking McPac connections.
17	02-0039	"Some CP underprotection
Update 03/02/2003:
Anomaly closed, readings are not within new (relaxed) a"
18	02-0054	Overdue inspection
19	02-0001	NDTN1 Cable Crossing clearance anomaly
20	02-0063	"Inspection completed 14/08/2003, anomaly closed.
Inspection not completed, Shaft 1 internal.
Updat"
22	02-0061	"Inspection completed 14/08/2003, anomaly closed.
Inspection not completed, Shaft 3 internal.
Updat"
23	02-0059	"Inspection completed 14/08/2003, anomaly closed.
Inspection not completed, Shaft 4 internal.
Updat"
25	02-0045	Exposed metal.
28	02-0053	TPFL2(A)-SSIV-109-01
29	02-0052	Overdue inspection
31	02-0050	Excessive Depletion of Gravity Anchor Box Anodes & CP Protection Potentials dropping
32	02-0049	TPFL2(A)-22
33	02-0048	Anodes Continuity Wires condition
34	02-0056	Several indications of burial
35	02-0010	GEP-PLDT1
36	02-0003	PLDT3 Cable Crossing clearance anomaly
37	02-0004	NDTN2 Cable Crossing clearance anomaly
38	02-0005	PLDT2 Cable Crossing clearance anomaly
39	02-0060	"Inspection completed 14/08/2003, anomaly closed.
Inspection not completed, Shaft 2 internal.
Updat"
40	02-0006	Overlength Freespans - General information by year
41	02-0002	Overlength Spans
42	02-0007	KP371 50m Displacement area KP370.05 to 371.78
43	02-0035	MA-7R Flying Lead looped on itself close to SSMA
44	02-0009	Anomalous CP readings
45	02-0011	Anomalous CP readings
46	02-0012	Overdue inspection
48	02-0014	TPFL1(B)-S-110-01
50	02-0008	Numerous anodes with significant depletion product
51	02-0028	Leak in Common Annulus Vent Line - The AVB Repair (17m in length) and the M3B Repair (14 m in length) 
52	02-0015	TPFL1(B)-SSIV-110-01
56	02-0022	Anomalous CP readings
58	02-0029	Several indications of burial
59	02-0019	TPFL2(A)-J2
60	02-0018	TPFL2(A)-S-109-01
61	02-0017	Leaking McPac connection PLES B
62	02-0016	Full Closure Test of SSIV
64	02-0065	"Several recorded instances of flowline riser arrival temperatures above design limit:
18 May 2002: "
65	02-0066	26-hour period 21/2/2002 – 22/02/2002 when instruments indicate conditions that may have led to gas 
66	02-0064	"Several recorded instances of flowline riser arrival temperatures above design limit:
21 June 2002:"
67	02-0067	"Several recorded instances of export gas out of spec for CO2 content:
25 April 2002: 4.4%, 12 hour "
69	02-0069	Navigation light on floating hose is missing
70	02-0070	"02/May/2006:
No Low CP readings recorded during 2006 Q1 inspection. Anomaly closed.
The earthing s"
71	02-0071	"Update 02/May/2006: Current chain tensions acceptable during 2006 Q1 inspection.
Angles recorded as"
72	02-0072	Overdue full closure test
73	02-0073	TPFL1(B)-SSIV-110-01
74	02-0074	TPFL2(A)-SSIV-109-01
75	03-0001	Numerous occurrences throughout 2002 where certain pressure sensors (1PI155_23A/B HH trip sensors) o
76	03-0002	UTAA & Bend Restrictor, Anode Skid Installation to replace Severely Depleted Anodes
