LKP_ID	LKP_GRP_ID	LKP_DESC_A	LKP_DESC_B
-1	1	???	Unknowns/All/Undefined
0	8008	New Code	 
1	1	GRP	Main Lookup Groups
109	1	DPT	Design Parameter Types
110	1	UM	Units of Measurement
130	1	CRT	Chemical Database Record Type
132	1	CGN	Chemical Database Generic Names
133	1	''	Solid Type
138	1	USRP	User Parameters
139	1	RFT	Reference File Types
140	1	RFC	Reference File Classification
141	1	UCM	User Comments Status
142	1	PCD	Path Codes
143	1	AST	Anomaly Status
144	1	ANC	Anomaly Class
145	1	MREQ	Maintenance Required
146	1	ANLT	Anomaly Life Term
147	1	ANLK	Anomaly Likelihood  Risk Ranking
148	1	ANSR	Anomaly Severity Risk Ranking
149	1	ATG	Anomaly Type Group
150	1	FTG	Failure Threat Group
151	1	FTT	Failure Threat Type
152	1	AIS	Action Item Status
153	1	IVT	Intervention Vessel Type
154	1	ITP	Intervention Type
155	1	ITC	Intervention Category
156	1	SVC	Survey Data Class
157	1	CDC	Chem Data Class
158	1	AVN	Analysis Vendor Name
159	1	BAC	Bacteria Record Type
160	1	QA1	Quality Assurance Status
161	1	QA2	Quality Assurance Action Status
162	1	COFH	COF Health Status
163	1	COFS	COF Safety Status
164	1	COFE	COF Environment Status
165	1	COFA	COF Assets Status
166	1	COFR	COF Reputation Status
167	1	TSTR	Test Results
168	1	TSTT	Test Types
169	1	CLU	Chemical Liquid Units
170	1	AIT	Asset Item Type
171	1	FTO	Failure Threat Occurences
172	1	NPOF	NPOF Groups
173	1	CONF	Confidence Notes
174	1	FRT	FRT Types
175	1	MIT	Mitigation Option Types
176	1	UCCL	User Comments Classification
177	1	UCPR	User Comments Priority
178	1	MPCG	Campaign Group
179	1	MPCA	Campaign Name
180	1	MPST	Management Process Status
181	1	MPTD	Campaign Task
182	1	CMLT	CML Type
183	1	WTREM	WT Remarks
184	1	MEATYP	Measurment Type
185	1	LNSRV	Line Service
186	1	LNCLS	Line Class
187	1	RPOS	Reading Positions
188	1	DDLGT	Equipment History Log Type
1000	109	AN	Analytical
1001	109	DE	Descriptive
1002	109	DI	Dimensional
1003	109	EL	Electrical
1004	109	FC	Fluid Characteristics
1005	109	FH	Fluid Chemistry
1006	109	IN	Inventories
1007	109	MA	Material
1008	109	MD	Mass or Density
1009	109	ME	Meteorological/Seismic/Geotechnical
1010	109	PT	Pressures Stresses & Temperatures
1011	109	WD	Well Parameter
1500	110	Ahr/kg	Ampere-hours per kilogram
1501	110	bar	bar
1502	110	bara	Bar atmospheric
1503	110	barg	Bar gauge
1504	110	bbl/day	Barrels per day
1505	110	bbl/mmscfd	Barrels per million standard cubic feet per day
1506	110	CP	CP
1507	110	cSt	cSt
1508	110	ft3/day	Cubic feet per day
1509	110	m3	Cubic metres
1510	110	m3/hr	Cubic metres per hour
1511	110	°C	Degrees Celsius
1512	110	°F	Degrees Farenheit
1513	110	dyne/cm	dyne per centimeter
1514	110	ft	Feet
1515	110	G/cm3	Grammes per cubic centimetre
1516	110	HR	Hours
1517	110	in	Inch(es)
1518	110	Joints	Joints (linepipe sections)
1519	110	kg	Kilograms
1520	110	kg/m3	Kilograms per cubic metre
1521	110	kg/hr	Kilograms per hour
1522	110	kg/m	Kilograms per metre
1523	110	km	Kilometer
1524	110	kN/m2	Kilo-Newton per squre metre
1525	110	kPa	Kilo-Pascals
1526	110	l/hr	Litres per hour
1527	110	MPa	Mega-Pascals
1528	110	Mpag	Mega-Pascals gauge
1529	110	m	Metres
1530	110	m/m°C	Metres per metre degree Celcius
1531	110	m/s	Metres per second
1532	110	micron	Micron
