REC_TAG	NODE_ID	NODE_DESC
1	"0.5""-AI-9438-0104D-NI"	Instrument Air to 06E01G-924A
2	"0.5""-AI-9440-0104D-NI"	Instrument Air to 06E01G-924B
3	"0.5""-AM-1257-0313B-NI"	From 06B52P-155A/B to 06B52V-131
4	"0.5""-AM-1604-0113A-NI"	"From 06B52A-167 to 3""-AM-1256-0113A-NI"
5	"0.5""-AM-2257-0313B-NI"	From 06B52P-255A/B to 06B52V-231
6	"0.5""-AM-2604-0113A-NI"	"From 06B52A-267 to 3""-AM-2256-0113A-NI"
7	"0.5""-AP-1605-0102G-NI"	Plant Air to 06B52A-167
8	"0.5""-AP-1607-0102G-NI"	Plant Air to 06B52A-151
9	"0.5""-AP-2605-0102G-NI"	Plant Air to 06B52A-267
10	"0.5""-AP-2607-0102G-NI"	Plant Air to 06B52A-251
11	"0.5""-AP-8056-0102G-NI"	Air Reservior to Inlet Filter 06E01G-924A
12	"0.5""-AP-9444-0102G-NI"	Air Reservior to Inlet Filter 06E01G-924B
13	"0.5""-AP-9475-0102G-NI"	"From 2""-AP-8286-0102G-NI to 06AI82I-08"
14	"0.5""-BFW-8444-0302B-H"	From BFW Header  to 06B55E-819
15	"0.5""-BFW-9752-0102C-NI"	BFW From Sample Cooler SC802 to Drain
16	"0.5""-CP-1255-0104C-NI"	"From 06B52A-151 to 10""-AM-1231-0113A-NI"
17	"0.5""-CP-1507-0104C-NI"	"From 06B52A-151 to 10""-AM-1231-0113A-NI"
18	"0.5""-CP-1508-0104C-NI"	"From 06B52A-151 to 10""-AM-1231-0113A-NI"
19	"0.5""-CP-2255-0104C-NI"	"From 06B52A-251 to 10""-AM-2231-0113A-NI"
20	"0.5""-CP-2507-0104C-NI"	"From 06B52A-251 to 10""-AM-2231-0113A-NI"
21	"0.5""-CP-2508-0104C-NI"	"From 06B52A-251 to 10""-AM-2231-0113A-NI"
22	"0.5""-CP-8450-0104C-P"	"BFW Chemical From 06E53A-898 to 8""-BFW-8438-0102C-H"
23	"0.5""-CP-9050-0104C-P"	"BFW Chemical From 06E53A-898 to 1""-CP-9051-0104C-P"
24	"0.5""-CP-9051-0104C-P"	BFW Chemical From 06E53A-898 to 06E53V-848B
25	"0.5""-DC-1066-0104A-NI"	Closed Drain from Analyser House
26	"0.5""-DC-1121-0904B-NI"	Closed Drain from 06B41P-159A/B
27	"0.5""-DC-1122-0904B-NI"	Closed Drain from 06B41P-159A/B
28	"0.5""-DC-2066-0104A-NI"	Closed Drain from Analyser House
29	"0.5""-DC-2121-0904B-NI"	Closed Drain from 06B41P-259A/B
30	"0.5""-DC-2122-0904B-NI"	Closed Drain from 06B41P-259A/B
31	"0.5""-DC-8690-0104A-NI"	Drain from SRU Analyser House
32	"0.5""-DO-9223-0102C-NI"	From 06E48F-926A to Drain
