RF_ID	RF_DESC
1	CALM Buoy battery box telemetry unit
2	CALM buoy onyard 1
3	CALM buoy onyard 2
4	CALM buoy onyard 3
5	CALM buoy onyard 4
6	CALM buoy 1
7	CALM buoy 2
8	CALM buoy 3
9	CALM buoy 4
10	CALM buoy5
11	Chain support
12	Expansion joint
13	Fog horn
14	Leak recovery 1
15	Leak recovery 2
16	Level gauge
17	Mooring bridle
18	N2 support 1
19	N2 support 2
20	Surge relief 1
21	Surge relief 2
22	Swivel bolts
23	Ballast cell slab relief pipe
24	Top of ODC with transition spool
25	J-tubes 6 and 7
26	J-tubes 8, 9 and 10
27	Risers bottom flanges 1
28	Risers bottom flanges 2
29	Shaft S1 access #2
30	Shaft S1 access
31	Shafts S1 and S3
32	Shaft S1 view 1
33	Shaft S1 view 2
34	Shaft S1 view 3
35	Shaft S1 view 4
36	Shaft S1 view 4
37	Shaft S2 view from above
38	S2 access 1
39	S2 access 2
40	S2 access 3
41	S2 access 4
42	S2 access 5
43	S2 view 1
44	S2 view 2
45	S2 view 3
46	S2 view 4
47	S2 view 5
48	S2 view 6
49	S2 view 7
50	S2 view 8
51	S2 view 9
52	S2 view 10
53	S3 view 1
54	S3 view 2
55	S3 access 1
56	S3 access 2
57	S4 access
58	S4 view
59	Landfall
60	PLEM
61	PLEM
62	PLES 1
63	PLES 1
64	PLES
65	PLES
66	PLES
67	PLES
68	PLES
69	PLES
70	PLES
71	PLES
72	PLES
73	PLES
74	PLES 2
75	PLES 1
76	PLES
77	PLES
78	PLES
79	Both PLES's
80	PLES 1 on trailer
81	PLES 1 on trailer
82	PLES 1 on trailer
83	PLES 1
84	PLES 1 HUB
85	PLES 2
86	PLES 2 HUB
87	PLES 2
88	PLES HUB
89	PLES on deck
90	PLES
91	Both PLES's on trailers
92	PLES on trailer
93	PLES on trailer
94	PLES on trailer
95	PLES on trailer
96	GEP SSIV
97	GEP SSIV
98	SSMA lift from deck
99	SSMA lift from deck
100	SSMA lift from deck
101	SSMA lift from deck#https://apps.malampaya.net\imsa\Photos\SSMA\MVC-014F.jpg##Click Hyperlink to View Photo
102	SSMA lift from deck
103	TPFL-1 FIVB and TPFL-2 FIVA
104	CEP VB-54-150
105	CEP VB-54-150 actuator
106	2001 - SSMA Metrology - Bullseye
107	PLES-1 Metrology - Bullseye
108	PLES-2 Metrology - Bullseye
109	FL Cap Male 1
110	Choke protective cap
111	FL cables configuration
112	Choke Debris Cap
113	FL connector to manifold
114	FL Hub Female 1
115	Flying Lead Tie-In to Tree view no 2
116	Flying Lead Tie-in
117	Flying Leads- SDUA (SDU-B) receptacle
118	Jumpers termination ends
119	Lockdown mechanism
120	macpac Hub Connection tool
121	Manifold and MDCs
122	Manifold, MDC & Flying lead
123	MDC and Flying Lead
124	MDC and ROV buckets
125	MDC and ROV panel
126	pst and office
127	ROV lockdown handle on SDU
128	SDU EH connector
129	SDU ROV H-Isolation valve
130	SDU ROV lockdown handle
131	SDU ROV panel and FL tiein hubs
132	Spooltree protective cap
133	Subsea Accumulator Module
134	Subsea Layout Sketch
135	Tree Debris Cap
136	Tree TIV
137	Umbilical pressure cap on Umb C tiein (UTC)
138	UTA A side view
139	UTA Hub connector
140	WJIV lock-close ROV RT
141	xmas tree and ROV panel
142	xmas tree cw ROV panel
143	x-mas tree
144	X-mas-tree-rov-panel
145	xt choke
146	XT No2 Main ROV Panel
147	XT No3 on CGB SCM and Mcpac Hud Corner
148	XT No3 on CGB SCM and ROV panel corner
149	Choke RT
150	Full view ROV at HSV
151	GL4-ROV-tool1
152	GL4-ROV-tool2
153	GL4-ROV-tool3
154	Hydraulic Tree RT
155	Linear Override Tool on JIV 1B
156	LOW TORQUE TOOL
157	Low TT inserted
158	Mc Pac Tool on Stand
159	Mc Pac Tool
160	MDC RT
161	PCV RT
162	PMT
163	RCU skid dive trial (2)
164	RCU Skid
165	ROV approach to HSV
166	ROV APPROACH TO SCM FL
167	ROV approaches PCV
168	ROV at HIV side
169	ROV at HSV hub
170	ROV at manifold lock at south side
171	ROV DOCKED at HIV
172	ROV docked at PCV
173	ROV grabbing PCV RT
174	ROV manipulator at XT
175	ROV RETRACTED
176	ROV torque tool
177	ROV TT DOCKED TO SCM FL
178	SCM R-T 1
179	SCM RT
180	Torque Tool Test Set-up Fixture
181	TORQUE TOOL
182	CALM gravity anchor boxes layout
183	CALM buoy and gravity anchor boxes chart (A-22-48-001)
184	CALM Buoy mooring system - General Arrangement, As-Built
185	General arrangement plan
186	General arrangement elevation
187	Anchor leg system assembly arrangement and installation
188	Anchor leg assembly detail
189	Anchor leg system inclinometer
190	Bearing housing general notes
191	Bearing housing assembly
192	Bearing support structure general notes
193	Bearing support structure buoy assembly and parts list
194	Bearing support structure buoy fabrication
195	Bearing support structure buoy fabrication
196	Bearing support structure turntable fabrication
197	Bearing support structure turntable fabrication
198	Buoy general notes
199	Buoy top deck plating and framing plan
200	Buoy bottom deck plating and framing plan
201	Buoy skirt plate and framing plan
202	Buoy internal bulkheads and framing elevation
203	Buoy internal bulkheads and framing elevation
204	Buoy internal bulkheads and framing plan
205	Buoy internal bulkheads and framing plan
206	Buoy internal bulkheads and framing plan
207	Buoy internal bulkheads and framing plan
208	Buoy hull and centerwell bulkhead elevation
209	Buoy skirt framing sections and details
210	Buoy sections and details
211	Buoy sections and details
212	Buoy sections and details
213	Buoy sections and details
214	Buoy cathodic protection sections and details
215	Buoy centerwell work platform sections and details
216	Buoy centerwell work platform sections and details
217	Buoy centerwell piping supports sections and details
218	Buoy lettering and numbering details
219	Buoy bearing block installation detail & alignment tool
220	Chain support general notes
221	Chain support assembly
222	Chain support chain stopper assembly
223	Chain support bearing block and cap assembly
224	Electrical system hazardous area classification
225	Electrical system general arrangement plan view
226	Electrical system general arrangement plan
227	Electrical system overall system block diagram
228	Electrical system turntable cabling and glanding arrangement
229	Electrical system turntable cabling and glanding arrangement (cable list)
230	Electrical system turntable power hook up diagram
231	Electrical system standard/ 2 buoy double enclosure w/o davit arm equipment arrangement
232	Electrical system double buoy enclosure assembly
233	Electrical system triple solar panel frame arragement
234	Electrical system fog detector installation & hook up diagram
235	Electrical system fog detector junction box detailed assembly
236	Electrical system fog horn hook up diagram
237	Electrical system load pin detailed arrangement
238	Electrical system load pin detailed arrangement
239	Electrical system ots standard load pin protective hose/cage and electrical connection det
240	Electrical system ots standard load pin protective hose/cage and electrical connection det
241	Electrical system system 3 rtu arrangement
242	Electrical system turntable rtu ex.d junction box wiring diagram
243	Electrical system line amplifier junction box arrangement
244	Electrical system line amplifier junction box wiring diagram
245	Hose system floating hose assembly arrangement
246	Hose system floating hose assembly parts list
247	Hose system underbuoy hose assembly arrangement
248	Hose system underbuoy hose assembly parts list
249	Hose system inline weight assembly
250	Hose system inline weight fabrication and machining
251	"Leak recovery system schematic 24""-150lb inline swivel"
252	Leak recovery system reservoir assembly
253	Lubrication system turntable bearing housing
254	Installation and maintenance aids lifting mooring buoy elevation and plan
255	Installation and maintenance aids mooring buoy towing rigging arrangement
256	Installation and maintenance aids anchor leg pull-in rigging arrangement
257	Installation and maintenance aids underbuoy hose installation rigging arrangement
258	Installation and maintenance aids floating hose installation rigging arrangement
259	Installation and maintenance aids parts list
260	Mooring buoy assembly general notes
261	Mooring buoy assembly elevation
262	Mooring buoy assembly plan
263	Mooring buoy assembly parts list
264	Mooring buoy assembly details
265	Mooring buoy assembly centerwell ladder
266	Mooring buoy assembly details
267	Mooring buoy bearing housing installation
268	Mooring buoy assembly bearing installation tensioning sequence
269	Mooring buoy inline swivel installation elevation
270	Mooring buoy inline swivel installation plan
271	Mooring buoy arragement
272	Mooring hawser system general notes
273	Mooring hawser system arrangement
274	Mooring hawser system hawser assembly
275	Mooring hawser system bridle assembly
276	Mooring hawser bridle parts detail
277	Piping schematic general notes piping and electrical symbols
